date,group name,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,rank,total titles
2025-07-23,Cherry Candle,284,299,0,1,1,2,11.92574877264545,252,2
2025-07-23,Melena Maria Rya,22,218,0,1,0,1,11.845216325334434,253,1
2025-07-23,Silvia Soprano,94,230,0,1,0,1,11.74275113264483,254,1
2025-07-23,Melissa Stratton,134,238,0,1,0,1,11.666304307683877,255,1
2025-07-23,Zuzu Sweet,208,246,0,1,0,1,11.624438442853108,256,1
2025-07-23,Sara Heat,195,246,0,1,0,0,11.611216311038625,257,1
2025-07-23,Clea Gaultier,715,353,0,1,1,2,11.57348372124607,258,2
2025-07-23,Sara Latina,18,249,0,1,0,1,11.387268035648976,259,1
2025-07-23,KRISSY LYNN,227,337,0,1,1,2,11.311405849605734,260,2
2025-07-23,Graycee Baybee,239,342,0,1,1,2,11.250404452190654,261,2
2025-07-23,Stella Cox,196,342,0,1,1,2,11.206669708496593,262,2
2025-07-23,April Olsen,150,342,0,1,1,2,11.159883703614575,263,2
2025-07-23,Laura Bentley,88,274,0,1,0,1,11.092431919200102,264,1
2025-07-23,Dharma Jones,65,278,0,1,0,1,11.010473763025564,265,1
2025-07-23,Kitty Lovedream,122,293,0,1,0,1,10.848828399096028,266,1
2025-07-23,Remy LaCroix,236,301,0,1,0,1,10.847646016771364,267,1
2025-07-23,Sophia Burns,14,288,0,1,0,1,10.812189438496462,268,1
2025-07-23,Julia Morozzi,162,306,0,1,0,0,10.699175131968165,269,1
2025-07-23,Isabella D,151,306,0,1,0,0,10.687987174278986,270,1
2025-07-23,Renee Rose,161,307,0,1,0,1,10.683516756472127,271,1
2025-07-23,Freya von Doom,368,333,0,1,0,1,10.513380279173273,272,1
2025-07-23,Anika Now,198,60,0,0,1,1,10.33754722083566,273,1
2025-07-23,Violet Joly,199,342,0,1,0,1,10.20972096968455,274,1
2025-07-23,Anna Claire Clouds,107,337,0,1,0,1,10.189355402087426,275,1
2025-07-23,Hazel Moore,48,333,0,1,0,1,10.187912419124453,276,1
2025-07-23,Lucky Bee,174,342,0,1,0,1,10.184293793118236,277,1
2025-07-23,Valeria Borghese,11,333,0,1,0,1,10.150280197806309,278,1
2025-07-23,Chrissy,9,333,0,1,0,1,10.148246023681004,279,1
2025-07-23,Lulu Love,31,337,0,1,0,1,10.11205678532583,280,1
2025-07-23,SAHARA SKYE,199,350,0,1,0,1,10.092590662217493,281,1
2025-07-23,Alika Alba,161,350,0,1,0,1,10.053941353836695,282,1
2025-07-23,Nina Nix,28,342,0,1,0,1,10.035799081970962,283,1
2025-07-23,Blue Wave,13,342,0,1,0,1,10.020542776031174,284,1
2025-07-23,Claudia Bavel,111,349,0,1,0,1,10.017728289137452,285,4
2025-07-23,Rayveness,101,349,0,1,0,2,10.007557418510924,286,1
2025-07-23,Stella Bliss,67,347,0,1,0,1,10.002259035247501,287,1
2025-07-23,Christy Love,83,350,0,1,0,1,9.974608562949797,288,1
2025-07-23,RAVEN LANE,72,350,0,1,0,1,9.963420605260618,289,1
2025-07-23,Keira Love,153,104,0,0,1,1,9.647561611947483,290,1
2025-07-23,Mina Kali,117,383,0,1,0,2,9.526027004778374,291,1
2025-07-23,Serina Gomez,136,394,0,1,0,1,9.384297486201568,292,1
2025-07-23,Aurelly Rebel,156,126,0,0,1,1,9.328504527601032,293,1
2025-07-23,Eliza Ibarra,78,394,0,1,0,1,9.325306436567718,294,1
2025-07-23,Cherry X,5,396,0,1,0,1,9.22177650412732,295,1
2025-07-23,Elsa Violet,135,406,0,1,0,1,9.207584937938329,296,1
2025-07-23,KittyKristen,2,57,0,0,0,0,9.182122021855905,297,1
2025-07-23,PE,29,69,0,0,0,0,9.03388791134694,298,0
2025-07-23,Juju la bretonne,99,91,0,0,0,0,8.782975660198211,299,1
2025-07-23,Penny Flame,34,438,0,1,0,1,8.636337914742192,300,1
2025-07-23,Maddy Nelson,162,181,0,0,1,0,8.529336186140931,301,1
2025-07-23,HD,44,126,0,0,0,5,8.214590776583945,302,4
2025-07-23,PARADISEHILL.cc CHAT 18+,2,129,0,0,0,0,8.12794925465239,303,0
2025-07-23,Rebel Rhyder,108,212,0,0,1,1,8.020533543322845,304,1
2025-07-23,Stacy Bloom,81,223,0,0,1,1,7.832018019864023,305,4
2025-07-23,Sammyyy Stonerrr,105,232,0,0,1,1,7.724656513467246,306,1
2025-07-23,Ava Austen,8,162,0,0,0,0,7.650889258726696,307,1
2025-07-23,morgpie,23,187,0,0,0,0,7.3001133538319305,308,0
2025-07-23,Mira Wair,3,187,0,0,0,0,7.279771612578879,309,1
2025-07-23,Public,52,200,0,0,0,0,7.139272129014889,310,0
2025-07-23,TUSHY,12,200,0,0,0,0,7.0985886465087855,311,2
2025-07-23,Georgia Jones,142,287,0,0,1,1,6.957017870949373,312,1
2025-07-23,Jillian Janson,114,292,0,0,1,1,6.855332991028191,313,1
2025-07-23,Anna De Ville,235,307,0,0,1,1,6.758781199108417,314,1
2025-07-23,Lily Love,3,223,0,0,0,0,6.752685228977123,315,1
2025-07-23,Mya Lorenn,6,246,0,0,0,0,6.418986856197291,316,1
2025-07-23,Merida Sat,138,333,0,0,1,1,6.279450254763184,317,1
2025-07-23,Chloe Temple,118,337,0,0,1,1,6.200543359776604,318,1
2025-07-23,Lindsay Lee,136,342,0,0,1,1,6.145644484737439,319,1
2025-07-23,Nika A,130,342,0,0,1,1,6.139541962361523,320,1
2025-07-23,Catherine Knight,101,342,0,0,1,1,6.110046437544599,321,1
2025-07-23,Valkiria Lapiedra,101,342,0,0,1,1,6.110046437544599,322,1
2025-07-23,Juilie Robbie,101,342,0,0,1,1,6.110046437544599,323,1
2025-07-23,Kallie Taylor,78,342,0,0,1,1,6.086653435103591,324,1
2025-07-23,Renata Foxx,33,342,0,0,1,1,6.040884517284225,325,1
2025-07-23,Madison Moores,4,273,0,0,0,0,6.021637894370668,326,1
2025-07-23,Riley Jacobs,7,342,0,0,1,1,6.014440253655259,327,1
2025-07-23,cristina plaza aa,25,292,0,0,0,0,5.764812242452113,328,1
2025-07-23,Cindy Shine,37,383,0,0,1,1,5.444660039766168,329,1
2025-07-23,Eva Cela,9,333,0,0,0,0,5.148246023681003,330,1
2025-07-23,Alana Cruise,2,342,0,0,0,0,5.009354818341996,331,1
2025-07-23,Lauren Phillips,160,684,0,0,0,0,0.1627339300244101,332,1
